key,description,en,ru,es,it,de,nl,fr,pl
tariff_activity_servers_description,Tariff Activity,"Less crowding, ultimate stability, and top speeds even during peak hours.","Меньше нагрузки, больше стабильности 
и высокая скорость даже в часы пик","Menos aglomeraciones, máxima estabilidad y velocidades máximas incluso durante las horas pico.","Meno affollamento, massima stabilità e velocità massime anche nelle ore di punta.","Weniger Gedränge, ultimative Stabilität und Höchstgeschwindigkeiten auch zu Spitzenzeiten.","Minder drukte, ultieme stabiliteit en topsnelheden, zelfs tijdens piekuren.","Moins de monde, une stabilité ultime et des vitesses de pointe même pendant les heures de pointe.","Mniej zatłoczenia, najwyższa stabilność i najwyższe prędkości nawet w godzinach szczytu."
tariff_activity_devices,Tariff Activity,Unlimited devices,Неограниченное количество устройств,Dispositivos ilimitados,Dispositivi illimitati,Unbegrenzte Anzahl an Geräten,Onbeperkte apparaten,Appareils illimités,Nieograniczona liczba urządzeń
tariff_activity_devices_description,Tariff Activity,"One email – no limits 
on the number of connected devices","Одна почта – без ограничений 
на количество подключённых устройств","Un correo electrónico: sin límites 
 en la cantidad de dispositivos conectados","Una sola email – nessun limite 
sul numero di dispositivi connessi","Eine E-Mail – keine Grenzen 
on der Anzahl der angeschlossenen Geräte","Eén e-mail – geen limiet 
 op het aantal aangesloten apparaten","Un e-mail – aucune limite 
sur le nombre d'appareils connectés","Jeden e-mail – bez ograniczeń 
 na liczbę podłączonych urządzeń"
tariff_activity_subtitle_world,Tariff Activity,"Fast & stable connections
worldwide",Быстрое и стабильное подключение по всему миру,"Conexiones rápidas y estables &
en todo el mundo","& connessioni stabili veloci
in tutto il mondo","Schnelle & stabile Verbindungen
weltweit","Snelle & stabiele verbindingen
wereldwijd","Connexions rapides et stables &
dans le monde entier","Szybkie stabilne połączenia &
na całym świecie"
tariff_activity_subs_details_title,Tariff Activity,Subscription details:,Детали подписки:,Detalles de la suscripción:,Dettagli dell'abbonamento:,Details zum Abonnement:,Abonnementsgegevens:,Détails de l'abonnement :,Szczegóły subskrypcji:
tariff_activity_subs_part1_title,Tariff Activity,EasyLight Gold Plan,Тариф EasyLight Gold,Plan EasyLight Gold,Piano EasyLight Gold,EasyLight Gold-Plan,EasyLight Gold-abonnement,Forfait EasyLight Gold,Plan EasyLight Gold
tariff_activity_subs_part1_desc,Tariff Activity,Payment will be debited from your Google Play account upon confirmation of purchase. Subscription renews automatically every month unless canceled.,"Оплата списывается с вашего аккаунта Google Play после подтверждения покупки. Подписка возобновляется автоматически каждый месяц, если она не была отменена.",El pago se debitará de su cuenta de Google Play tras la confirmación de la compra. La suscripción se renueva automáticamente cada mes a menos que se cancele.,Il pagamento verrà addebitato sul tuo account Google Play al momento della conferma dell'acquisto. L'abbonamento si rinnova automaticamente ogni mese salvo disdetta.,"Die Zahlung wird nach Bestätigung des Kaufs von Ihrem Google Play-Konto abgebucht. Das Abonnement verlängert sich automatisch jeden Monat, sofern es nicht gekündigt wird.","De betaling wordt na bevestiging van de aankoop van uw Google Play-account afgeschreven. Het abonnement wordt elke maand automatisch verlengd, tenzij opgezegd.","Le paiement sera débité de votre compte Google Play dès la confirmation de l'achat. L'abonnement se renouvelle automatiquement chaque mois, sauf annulation.","Płatność zostanie pobrana z Twojego konta Google Play po potwierdzeniu zakupu. Subskrypcja odnawia się automatycznie co miesiąc, chyba że zostanie anulowana."
tariff_activity_subs_part2_title,Tariff Activity,Manage & Cancel,Управление и отмена,Administrar & Cancelar,Gestisci & Annulla,Verwalten & Abbrechen,Beheer & Annuleren,Gérer & Annuler,Zarządzaj & Anuluj
tariff_activity_subs_part2_desc,Tariff Activity,"You can turn off auto-renewal or manage your subscriptions anytime in your Google Play account settings. If you cancel, you'll keep your Gold access until the end of your current billing cycle.",Вы можете в любой момент отключить автопродление или управлять своими подписками напрямую в настройках вашего профиля Google Play. При отмене подписки доступ к Gold-тарифу сохраняется до конца текущего оплаченного периода.,"Puede desactivar la renovación automática o administrar sus suscripciones en cualquier momento en la configuración de su cuenta de Google Play. Si cancela, mantendrá su acceso Gold hasta el final de su ciclo de facturación actual.","Puoi disattivare il rinnovo automatico o gestire i tuoi abbonamenti in qualsiasi momento nelle impostazioni del tuo account Google Play. Se annulli, manterrai il tuo accesso Gold fino alla fine del ciclo di fatturazione corrente.","Sie können die automatische Verlängerung jederzeit in den Einstellungen Ihres Google Play-Kontos deaktivieren oder Ihre Abonnements verwalten. Wenn Sie kündigen, behalten Sie Ihren Gold-Zugang bis zum Ende Ihres aktuellen Abrechnungszeitraums.","U kunt automatische verlenging op elk gewenst moment uitschakelen of uw abonnementen beheren in uw Google Play-accountinstellingen. Als u annuleert, behoudt u uw Gold-toegang tot het einde van uw huidige factureringscyclus.","Vous pouvez désactiver le renouvellement automatique ou gérer vos abonnements à tout moment dans les paramètres de votre compte Google Play. Si vous annulez, vous conserverez votre accès Gold jusqu'à la fin de votre cycle de facturation en cours.","Możesz wyłączyć automatyczne odnawianie lub zarządzać swoimi subskrypcjami w dowolnym momencie w ustawieniach konta Google Play. Jeśli anulujesz, zachowasz dostęp Gold do końca bieżącego cyklu rozliczeniowego."
tariff_purchase_subscription_active,Tariff Activity,Auto-renewal enabled. Cancel at any time in Google Play settings. Manage Subscriptions.,Автопродление включено. Отмена в любой момент в настройках Google Play. Управление подписками.,Renovación automática habilitada. Cancela en cualquier momento en la configuración de Google Play. Administrar suscripciones.,Rinnovo automatico abilitato. Annulla in qualsiasi momento nelle impostazioni di Google Play. Gestisci abbonamenti.,Automatische Verlängerung aktiviert. Die Kündigung ist jederzeit in den Google Play-Einstellungen möglich. Abonnements verwalten.,Automatische verlenging ingeschakeld. Annuleer op elk gewenst moment via de Google Play-instellingen. Beheer abonnementen.,Renouvellement automatique activé. Annulez à tout moment dans les paramètres de Google Play. Gérer les abonnements.,Włączono automatyczne odnawianie. Anuluj w dowolnym momencie w ustawieniach Google Play. Zarządzaj subskrypcjami.
tariff_purchase_manage_subscriptions,Tariff Activity,Manage Subscriptions,Управление подписками,Administrar suscripciones,Gestisci abbonamenti,Abonnements verwalten,Beheer abonnementen,Gérer les abonnements,Zarządzaj subskrypcjami
tariff_purchase_subscription_monthly,Tariff Activity,"The first month is for %s, then auto-renewal is included for %s per month. Cancel at any time in Google Play settings.","Первый месяц за %s, далее включено автопродление %s в месяц. Отмена в любой момент в настройках Google Play.","El primer mes es para %s, luego se incluye la renovación automática para %s por mes. Cancela en cualquier momento en la configuración de Google Play.","Il primo mese è per %s, poi è incluso il rinnovo automatico per %s al mese. Annulla in qualsiasi momento nelle impostazioni di Google Play.","Der erste Monat gilt für %s, danach ist die automatische Verlängerung für %s pro Monat inbegriffen. Die Kündigung ist jederzeit in den Google Play-Einstellungen möglich.","De eerste maand is voor %s, daarna is automatische verlenging inbegrepen voor %s per maand. Annuleer op elk gewenst moment via de Google Play-instellingen.","Le premier mois concerne le %s, puis le renouvellement automatique est inclus pour le %s par mois. Annulez à tout moment dans les paramètres de Google Play.","Pierwszy miesiąc dotyczy %s, następnie automatyczne odnawianie jest uwzględnione w przypadku %s miesięcznie. Anuluj w dowolnym momencie w ustawieniach Google Play."
tariff_activity_privacy_policy,Tariff Activity,Privacy policy,Политика Конфиденциальности,Política de privacidad,Informativa sulla privacy,Datenschutzrichtlinie,Privacybeleid,Politique de confidentialité,Polityka prywatności
tariff_activity_user_agreement,Tariff Activity,User agreement,Пользовательское соглашение,Acuerdo de usuario,Contratto d'uso,Nutzungsvereinbarung,Gebruikersovereenkomst,Accord d'utilisation,Umowa użytkownika
tariff_activity_cookie_policy,Tariff Activity,Cookie Policy,Политика cookie,Política de cookies,Politica sui cookie,Cookie-Richtlinie,Cookiebeleid,Politique en matière de cookies,Polityka plików cookie
tariff_activity_refund_policy,Tariff Activity,Refund policy,Условия возврата,Política de reembolso,Politica di rimborso,Rückerstattungsrichtlinie,Terugbetalingsbeleid,Politique de remboursement,Polityka zwrotów
tariff_activity_toast_mail_not_approved,Tariff Activity,"The account is not confirmed, Confirm the device from the email at %s","Аккаунт не подтвержден, Подтвердите устройство из письма на почте %s","La cuenta no está confirmada, Confirma el dispositivo desde el correo electrónico al %s","L'account non è confermato, conferma il dispositivo dall'e-mail all'indirizzo %s",Das Konto ist nicht bestätigt. Bestätigen Sie das Gerät anhand der E-Mail an %s,Het account is niet bevestigd. Bevestig het apparaat via de e-mail op %s,"Le compte n'est pas confirmé, confirmez l'appareil à partir de l'e-mail à %s",Konto nie zostało potwierdzone. Potwierdź urządzenie z wiadomości e-mail na adres %s
tariff_activity_period,Tariff Activity,/mo,/ месяц,/mes,/mese,/Mo,/mnd,/mois,/mies
tariff_price_per_month,Tariff Activity,%d ₽ /mo,%d ₽ / месяц,%d ₽ /mes,%d ₽ /mese,%d ₽ /Monat,%d ₽ /maand,%d ₽ /mois,%d ₽ /mies
tariff_activity_current_tariff,Tariff Activity,Your current plan:,Ваш текущий тариф:,Su plan actual:,Il tuo piano attuale:,Ihr aktueller Plan:,Uw huidige abonnement:,Votre forfait actuel :,Twój obecny plan:
tariff_activity_purchase_description,Tariff Activity,This is an automatically renewing subscription. Cancel at any time in Google Play settings.,Это автоматически продлеваемая подписка. Отмена в любой момент в настройках Google Play.,Esta es una suscripción que se renueva automáticamente. Cancela en cualquier momento en la configuración de Google Play.,Questo è un abbonamento che si rinnova automaticamente. Annulla in qualsiasi momento nelle impostazioni di Google Play.,Dies ist ein sich automatisch verlängerndes Abonnement. Die Kündigung ist jederzeit in den Google Play-Einstellungen möglich.,Dit is een automatisch verlengend abonnement. Annuleer op elk gewenst moment via de Google Play-instellingen.,Il s'agit d'un abonnement à renouvellement automatique. Annulez à tout moment dans les paramètres de Google Play.,Jest to automatycznie odnawiająca się subskrypcja. Anuluj w dowolnym momencie w ustawieniach Google Play.
tariff_activity_purchase_offer_description,Tariff Activity,"The first month is for %s, then auto-renewal is included for %s per month. Cancel at any time in Google Play settings.","Первый месяц за %s, далее включено автопродление %s в месяц. Отмена в любой момент в настройках Google Play.","El primer mes es para %s, luego se incluye la renovación automática para %s por mes. Cancela en cualquier momento en la configuración de Google Play.","Il primo mese è per %s, poi è incluso il rinnovo automatico per %s al mese. Annulla in qualsiasi momento nelle impostazioni di Google Play.","Der erste Monat gilt für %s, danach ist die automatische Verlängerung für %s pro Monat inbegriffen. Die Kündigung ist jederzeit in den Google Play-Einstellungen möglich.","De eerste maand is voor %s, daarna is automatische verlenging inbegrepen voor %s per maand. Annuleer op elk gewenst moment via de Google Play-instellingen.","Le premier mois concerne le %s, puis le renouvellement automatique est inclus pour le %s par mois. Annulez à tout moment dans les paramètres de Google Play.","Pierwszy miesiąc dotyczy %s, następnie automatyczne odnawianie jest uwzględnione w przypadku %s miesięcznie. Anuluj w dowolnym momencie w ustawieniach Google Play."
tariff_activity_purchase_done,Tariff Activity,Auto-renewal enabled. Cancel at any time in Google Play settings. Subscription management.,Автопродление включено. Отмена в любой момент в настройках Google Play. Управление подписками.,Renovación automática habilitada. Cancela en cualquier momento en la configuración de Google Play. Gestión de suscripciones.,Rinnovo automatico abilitato. Annulla in qualsiasi momento nelle impostazioni di Google Play. Gestione degli abbonamenti.,Automatische Verlängerung aktiviert. Die Kündigung ist jederzeit in den Google Play-Einstellungen möglich. Abonnementverwaltung.,Automatische verlenging ingeschakeld. Annuleer op elk gewenst moment via de Google Play-instellingen. Abonnementsbeheer.,Renouvellement automatique activé. Annulez à tout moment dans les paramètres de Google Play. Gestion des abonnements.,Włączono automatyczne odnawianie. Anuluj w dowolnym momencie w ustawieniach Google Play. Zarządzanie subskrypcjami.
tariff_activity_purchase_unsubscribe,Tariff Activity,"The tariff is active. Auto-renewal is disabled, the subscription can be activated again.","Тариф активен. Автопродление отключено, подписку можно подключить снова.","La tarifa está activa. La renovación automática está deshabilitada, la suscripción se puede activar nuevamente.","La tariffa è attiva. Il rinnovo automatico è disabilitato, l'abbonamento può essere riattivato.","Der Tarif ist aktiv. Die automatische Verlängerung ist deaktiviert, das Abonnement kann erneut aktiviert werden.","Het tarief is actief. Automatische verlenging is uitgeschakeld, het abonnement kan opnieuw worden geactiveerd.","Le tarif est actif. Le renouvellement automatique est désactivé, l'abonnement peut être réactivé.","Taryfa jest aktywna. Automatyczne odnawianie jest wyłączone, subskrypcję można aktywować ponownie."
tab_bar_main,Tab Bar,Connection,Подключение,Conexión,Connessione,Verbindung,Verbinding,Connexion,Połączenie
tab_bar_tariff,Tab Bar,Tariffs,Тарифы,Tarifas,Tariffe,Tarife,Tarieven,Tarifs,Taryfy
tab_bar_share,Tab Bar,Share,Поделиться,Compartir,Condividi,Teilen,Deel,Partager,Udostępnij
tab_bar_profile,Tab Bar,Profile,Профиль,Perfil,Profilo,Profil,Profiel,Profil,Profil
global_vpn_notification_name,Global,Connection status,Статус подключения,Estado de conexión,Stato della connessione,Verbindungsstatus,Verbindingsstatus,État de la connexion,Stan połączenia
global_vpn_other_notification_name,Global,Others,Другое,Otros,Altri,Andere,Anderen,D'autres,Inni
global_tariff_free,Global,Basic,Базовый,Básico,Essenziale,Einfach,Basis,De base,Podstawowe
global_rateus_title,Global,Did you like our app?,Вам понравилось наше приложение?,¿Te gustó nuestra aplicación?,Ti è piaciuta la nostra app?,Hat Ihnen unsere App gefallen?,Vond je onze app leuk?,Vous avez aimé notre application ?,Czy podobała Ci się nasza aplikacja?
global_rateus_text,Global,Your rating is very important to us. It's quick and very important.,Ваша оценка очень важна для нас. Это быстро и очень важно.,Tu calificación es muy importante para nosotros. Es rápido y muy importante.,La tua valutazione è molto importante per noi. È veloce e molto importante.,Ihre Bewertung ist uns sehr wichtig. Es geht schnell und ist sehr wichtig.,Uw beoordeling is erg belangrijk voor ons. Het is snel en erg belangrijk.,Votre note est très importante pour nous. C'est rapide et très important.,Twoja ocena jest dla nas bardzo ważna. To szybkie i bardzo ważne.
global_rateus_button_positive,Global,Rate,Оценить,Tarifa,Vota,Bewerten,Beoordeel,Tarif,Oceń
global_rateus_button_negative,Global,Not now,Не сейчас,Ahora no,Non ora,Nicht jetzt,Niet nu,Pas maintenant,Nie teraz
global_notification_title,Global,VPN service active,Сервис VPN активен,Servicio VPN activo,Servizio VPN attivo,VPN-Dienst aktiv,VPN-service actief,Service VPN actif,Usługa VPN aktywna
global_share_text,Global,"EasyLight! Simple and ad-free. On Google Play:
","EasyLight! Просто и без рекламы. В Google Play:
","¡EasyLight! Sencillo y sin publicidad. En Google Play:
","EasyLight! Semplice e senza pubblicità. Su Google Play:
","EasyLight! Einfach und werbefrei. Bei Google Play:
","EasyLight! Eenvoudig en advertentievrij. Op Google Play:
","EasyLight ! Simple et sans publicité. Sur Google Play :
","EasyLight! Prosto i bez reklam. W Google Play:
"
global_close,Global,Close,Закрыть,Cerrar,Chiudi,Schließen,Sluiten,Fermer,Zamknij
billing_tv_subscription_manage_title,Global,Manage subscription,Управление подпиской,Administrar suscripción,Gestisci l'abbonamento,Abonnement verwalten,Beheer abonnement,Gérer l'abonnement,Zarządzaj subskrypcją
billing_tv_subscription_manage_message,Global,Subscription management isn’t available on Android TV. Scan the QR code with your phone or open g.co/play/subscriptions on a phone or computer.,Управление подпиской недоступно на Android TV. Отсканируйте QR-код телефоном или откройте g.co/play/subscriptions на телефоне или компьютере.,La gestión de suscripciones no está disponible en Android TV. Escanee el código QR con su teléfono o abra g.co/play/subscriptions en un teléfono o computadora.,La gestione degli abbonamenti non è disponibile su Android TV. Scansiona il codice QR con il tuo telefono o apri g.co/play/subscriptions su un telefono o un computer.,Die Abonnementverwaltung ist auf Android TV nicht verfügbar. Scannen Sie den QR-Code mit Ihrem Telefon oder öffnen Sie g.co/play/subscriptions auf einem Telefon oder Computer.,Abonnementsbeheer is niet beschikbaar op Android TV. Scan de QR-code met uw telefoon of open g.co/play/subscriptions op een telefoon of computer.,La gestion des abonnements n'est pas disponible sur Android TV. Scannez le code QR avec votre téléphone ou ouvrez g.co/play/subscriptions sur un téléphone ou un ordinateur.,Zarządzanie subskrypcjami nie jest dostępne na platformie Android TV. Zeskanuj kod QR telefonem lub otwórz g.co/play/subscriptions na telefonie lub komputerze.
global_qr_title,Global,Tariff payment,Оплата тарифа,Pago de tarifa,Pagamento della tariffa,Tarifzahlung,Tariefbetaling,Paiement du tarif,Płatność taryfowa
global_qr_link,Global,Pay via link,Оплатить по ссылке,Pagar mediante enlace,Paga tramite collegamento,Bezahlen Sie per Link,Betalen via link,Payer via un lien,Zapłać poprzez link
global_qr_description,Global,"Payment for %s plan

1. Open the camera and point it
   at the QR code to scan.
2. Follow the link and pay
   via the YooKassa service.
3. Access will be granted
   automatically.

You can scan with any
QR code app.","Оплата тарифа %s

1. Откройте камеру и наведите её
   на QR-код для сканирования.
2. Перейдите по ссылке и оплатите
   через сервис оплаты.
3. После этого доступ будет выдан
   автоматически.

Сканировать можно любым
приложением для QR-кодов.","Pago del plan %s

1. Abre la cámara y apúntala
 en el código QR para escanear.
2. Sigue el enlace y paga.
 a través del servicio YooKassa.
3. Se concederá el acceso
 automáticamente.

Puedes escanear con cualquierAplicación de código 
QR.","Pagamento per piano %s

1. Apri la fotocamera e puntala
 al codice QR da scansionare.
2. Segui il link e paga
 tramite il servizio YooKassa.
3. L'accesso sarà concesso
 automaticamente.

Puoi eseguire la scansione con qualsiasi
QR codice app.","Zahlung für %s-Plan

1. Öffnen Sie die Kamera und richten Sie sie aus
 am QR-Code zum Scannen.
2. Folgen Sie dem Link und zahlen Sie
 über den YooKassa-Dienst.
3. Der Zugang wird gewährt
 automatisch.

Sie können mit jedem scannen
QR Code App.","Betaling voor %s-abonnement

1. Open de camera en richt deze
 bij de QR-code om te scannen.
2. Volg de link en betaal
 via de YooKassa-service.
3. Er zal toegang worden verleend
 automatisch.

U kunt met elk apparaat scannen
QR code-app.","Paiement pour le plan %s

1. Ouvrez la caméra et pointez-la
 au code QR à scanner.
2. Suivez le lien et payez
 via le service YooKassa.
3. L'accès sera accordé
 automatiquement.

Vous pouvez numériser avec n'importe quelApplication de code 
QR.","Płatność za plan %s

1. Otwórz aparat i skieruj go
 przy kodzie QR do zeskanowania.
2. Kliknij link i zapłać
 za pośrednictwem usługi YooKassa.
3. Dostęp zostanie przyznany
 automatycznie.

Możesz skanować za pomocą dowolnegoAplikacja kodu 
QR."
global_bad_connection,Global,Poor connection detected,Обнаруженно плохое соединение,Mala conexión detectada,Rilevata connessione scadente,Schlechte Verbindung erkannt,Slechte verbinding gedetecteerd,Mauvaise connexion détectée,Wykryto słabe połączenie
global_day_one,Global,day,день,dia,giorno,Tag,dag,jour,dzień
global_day_some,Global,days,дней,dias,giorni,Tage,dagen,jours,dni
global_day_couple,Global,days,дня,dias,giorni,Tage,dagen,jours,dni
global_hour_one,Global,hour,час,hora,ora,Stunde,uur,heure,godzina
global_hour_some,Global,hours,часов,horas,ore,Stunden,uur,heures,godziny
global_hour_couple,Global,hours,часа,horas,ore,Stunden,uur,heures,godziny
global_premium_name,Global,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold
global_auto_server,Global,Auto-select,Автовыбор,Selección automática,Selezione automatica,Automatisch auswählen,Automatische selectie,Sélection automatique,Automatyczny wybór
global_youtube,Global,YouTube,YouTube,youtube,YouTube,YouTube,YouTube,YouTube,YouTube
global_usa,Global,USA,США,Estados Unidos,Stati Uniti,USA,VS,États-Unis,USA
global_games_server,Global,Games,Игры,Juegos,Giochi,Spiele,Spellen,Jeux,Gry
global_request_background_status_title,Global,Allow background data transfer,Разрешите фоновую передачу данных,Permitir transferencia de datos en segundo plano,Consenti trasferimento dati in background,Hintergrunddatenübertragung zulassen,Gegevensoverdracht op de achtergrond toestaan,Autoriser le transfert de données en arrière-plan,Zezwalaj na przesyłanie danych w tle
global_request_background_status_description,Global,"To prevent connection interruptions, please allow data transfer in the background. Tap ""Configure"" and enable this setting in your device settings.","Чтобы соединение не прерывалось, разрешите передавать данные в фоновом режиме. Нажмите «Настроить» и включите этот параметр в настройках.","Para evitar interrupciones en la conexión, permita la transferencia de datos en segundo plano. Toque ""Configurar"" y habilite esta configuración en la configuración de su dispositivo.","Per evitare interruzioni della connessione, consentire il trasferimento dei dati in background. Tocca ""Configura"" e attiva questa impostazione nelle impostazioni del tuo dispositivo.","Um Verbindungsunterbrechungen zu vermeiden, erlauben Sie bitte die Datenübertragung im Hintergrund. Tippen Sie auf „Konfigurieren“ und aktivieren Sie diese Einstellung in Ihren Geräteeinstellungen.","Om verbindingsonderbrekingen te voorkomen, moet u gegevensoverdracht op de achtergrond toestaan. Tik op ""Configureren"" en schakel deze instelling in uw apparaatinstellingen in.","Pour éviter les interruptions de connexion, veuillez autoriser le transfert de données en arrière-plan. Appuyez sur « Configurer » et activez ce paramètre dans les paramètres de votre appareil.","Aby zapobiec przerwom w połączeniu, zezwól na przesyłanie danych w tle. Kliknij „Konfiguruj” i włącz to ustawienie w ustawieniach swojego urządzenia."
global_request_background_status_ok,Global,Configure,Настроить,Configurar,Configura,Konfigurieren,Configureer,Configurer,Skonfiguruj
global_request_background_status_discard,Global,Cancel,Отмена,Cancelar,Annulla,Abbrechen,Annuleer,Annuler,Anuluj
global_request_background_status_message,Global,The app may not work correctly.,Приложение может работать некорректно.,Es posible que la aplicación no funcione correctamente.,L'app potrebbe non funzionare correttamente.,Die App funktioniert möglicherweise nicht richtig.,De app werkt mogelijk niet correct.,L'application peut ne pas fonctionner correctement.,Aplikacja może nie działać poprawnie.
global_update_title,Global,App update required,Требуется обновление приложения,Se requiere actualización de la aplicación,È richiesto l'aggiornamento dell'app,App-Update erforderlich,App-update vereist,Mise à jour de l'application requise,Wymagana aktualizacja aplikacji
global_update_google_play,Global,Update on Google Play,Google Play,Actualización en Google Play,Aggiornamento su Google Play,Update auf Google Play,Update op Google Play,Mise à jour sur Google Play,Aktualizacja w Google Play
global_gbox_text,Global,"The app cannot run if installed via GBox. To ensure proper functionality, update the app through the APK file from our website.","Приложение не может быть запущено, если оно установлено через GBox. Для корректной работы необходимо обновить это приложение через APK-файл с нашего сайта.","La aplicación no se puede ejecutar si se instala a través de GBox. Para garantizar un funcionamiento adecuado, actualice la aplicación a través del archivo APK de nuestro sitio web.","L'app non può essere eseguita se installata tramite GBox. Per garantire il corretto funzionamento, aggiorna l'app tramite il file APK dal nostro sito web.","Die App kann nicht ausgeführt werden, wenn sie über GBox installiert wird. Um die ordnungsgemäße Funktionalität sicherzustellen, aktualisieren Sie die App über die APK-Datei von unserer Website.",De app kan niet worden uitgevoerd als deze via GBox is geïnstalleerd. Update de app via het APK-bestand van onze website om een ​​goede functionaliteit te garanderen.,"L'application ne peut pas s'exécuter si elle est installée via GBox. Pour garantir un bon fonctionnement, mettez à jour l'application via le fichier APK de notre site Web.","Aplikacja nie może zostać uruchomiona, jeśli jest zainstalowana poprzez GBox. Aby zapewnić prawidłowe działanie, zaktualizuj aplikację za pomocą pliku APK z naszej strony internetowej."
global_download_apk,Global,Download APK file,APK-файл,Descargar el archivo APK,Scarica il file APK,Laden Sie die APK-Datei herunter,APK-bestand downloaden,Télécharger le fichier APK,Pobierz plik APK
global_gbox_negative,Global,Exit,Выйти,Salir,Esci,Ausstieg,Afsluiten,Quitter,Wyjdź
global_minutes_short_with_space,Global,min.,мин.,mín.,min.,min.,min.,min.,min.
global_seconds_short_with_space,Global,sec.,сек.,seg.,sez.,Sek.,sec.,sec.,sek.
global_price_free,Global,Free,Бесплатно,Gratis,Gratuito,Kostenlos,Gratis,Gratuit,Bezpłatny
global_search,Global,Search,Поиск,Buscar,Cerca,Suchen,Zoeken,Rechercher,Szukaj
rus_server_short_name,Servers,RUS,RUS,Rusia,RUS,RUS,RUS,Russie,RUS
strike_text,Offers,%s,%s,%s,%s,%s,%s,%s,%s
offer_exipre_time,Offers,Time left,Осталось,Tiempo restante,Tempo rimasto,Noch Zeit,Nog tijd over,Temps restant,Pozostał czas
new_tariff_top_message_lost,NewTariff,Tariff expired,Тариф истек,Tarifa vencida,Tariffa scaduta,Tarif abgelaufen,Tarief verlopen,Tarif expiré,Taryfa wygasła
new_tariff_top_message_gold,NewTariff,You're all set,Тариф подключён,Estás todo listo,È tutto a posto,Sie sind bereit,Je bent er helemaal klaar voor,Vous êtes prêt,Wszystko gotowe
new_tariff_top_message_start,NewTariff,You've unlocked the trial,Вы получили пробный тариф,Has desbloqueado la prueba.,Hai sbloccato la prova,Sie haben die Testversion freigeschaltet,Je hebt de proefversie ontgrendeld,Vous avez débloqué l'essai,Odblokowałeś wersję próbną
new_tariff_top_message_free,NewTariff,Your current plan,Ваш текущий тариф,Tu plan actual,Il tuo piano attuale,Ihr aktueller Plan,Uw huidige abonnement,Votre forfait actuel,Twój aktualny plan
new_tariff_status_lost,NewTariff,Your tariff has ended,Ваш тариф завершился,Tu tarifa ha terminado,La tua tariffa è scaduta,Ihr Tarif ist beendet,Uw tarief is beëindigd,Votre tarif est terminé,Twoja taryfa dobiegła końca
new_tariff_unlimited,NewTariff,free forever,доступен бессрочно,libre para siempre,libero per sempre,für immer kostenlos,voor altijd vrij,libre pour toujours,wolny na zawsze
new_tariff_duration_date,NewTariff,for %s,на %s,para %s,per %s,für %s,voor %s,pour %s,dla %s
new_tariff_start_duration,NewTariff,%d-Day Starter,на %d дней,%d-Arrancador de día,%d-Giorno Antipasto,%d-Tagesstarter,%d-dagstarter,%d-Démarreur de jour,%d – Rozrusznik dzienny
new_tariff_expiration_date,NewTariff,until %s,до %s,hasta %s,fino a %s,bis %s,tot %s,jusqu'à %s,aż do %s
new_tariff_expiration_date_start,NewTariff,Valid until %s,до %s года,Válido hasta %s,Valido fino al %s,Gültig bis %s,Geldig tot %s,Valable jusqu'au %s,Ważne do %s
new_tariff_expiration_date_gold,NewTariff,Renews on: %s,Следующее продление: %s,Se renueva el: %s,Si rinnova su: %s,Verlängert am: %s,Wordt verlengd op: %s,Renouvelle le : %s,Odnawia się: %s
new_tariff_info_text,NewTariff,What you get:,Вам доступно:,Lo que obtienes:,Cosa ottieni:,Was Sie bekommen:,Wat je krijgt:,Ce que vous obtenez :,Co otrzymasz:
new_tariff_text_lost,NewTariff,"You have been automatically switched
 to the free Basic tariff","Вы автоматически переведены
 на бесплатный Базовый тариф","Has sido cambiado automáticamente
 a la tarifa Básica gratuita","Sei passato automaticamente
 alla tariffa Base gratuita","Sie wurden automatisch auf den kostenlosen Basic-Tarif umgestellt
","U bent automatisch overgezet
 naar het gratis Basistarief","Vous avez été automatiquement basculé
 vers le tarif Basic gratuit","Zostałeś automatycznie przełączony 
 na bezpłatną taryfę Basic"
new_tariff_text_gold,NewTariff,"After the current tariff expires,
 you will automatically switch
 to the free Basic tariff","По истечении срока действия текущего
 тарифа вы автоматически перейдете
 на бесплатный Базовый тариф","Después de que caduque la tarifa actual, 
 cambiará automáticamente
 a la tarifa Básica gratuita","Una volta scaduta la tariffa attuale, 
 passerai automaticamente da 
 alla tariffa Base gratuita","Nach Ablauf des aktuellen Tarifs
 wechseln Sie automatisch
 zum kostenlosen Basic-Tarif","Nadat het huidige tarief vervalt
 stapt u automatisch over
 naar het gratis Basistarief","Après l'expiration du tarif actuel, 
, vous passerez automatiquement 
 au tarif de base gratuit.","Po wygaśnięciu aktualnej taryfy 
 automatycznie przełączysz 
 na bezpłatną taryfę Basic"
new_tariff_speed_info,NewTariff,Speeds up to %d Mbps,Скорость до %d Мбит/с,Velocidades de hasta %d Mbps,Velocità fino a %d Mbps,Geschwindigkeiten bis zu %d Mbit/s,Snelheden tot %d Mbps,Vitesses allant jusqu'à %d Mbps,Prędkość do %d Mbps
new_tariff_dedicated_servers,NewTariff,Premium dedicated servers,Выделенные серверы,Servidores dedicados premium,Server dedicati premium,Dedizierte Premium-Server,Premium dedicated servers,Serveurs dédiés premium,Serwery dedykowane premium
